*************************** NUIT one-group neutron cross-section data ***************************
Number of isotopes with neutron data: 
	554
Number of burnup steps:
	2

BU(MWd/kgHM)
0.00000000E+00   2.14162361E-09

NucId    NucName  MT
                  103   8.33438228E-04   8.41691796E-04
                  107   7.99087140E-04   8.05727820E-04
200440   Ca44     4       
                  16    2.63931186E-07   1.71538399E-05
                  102   1.08165769E-01   1.06936692E-01
                  103   1.48679082E-05   1.99910149E-05
                  107   7.85894501E-06   9.88078372E-06
200450   Ca45     4       
                  16    1.68512324E-04   3.12184552E-04
                  102   1.79465226E+00   1.77229420E+00
                  103   8.72105471E-06   1.20496854E-05
                  107   3.79094132E-06   5.06024608E-06
200460   Ca46     3       
                  16    2.09286272E-06   7.33661614E-05
                  102   8.95721824E-02   8.84886174E-02
                  103   1.61506707E-07   7.03076824E-07
200470   Ca47     3       
                  16    2.74170288E-04   4.42346103E-04
                  102   8.76232190E-02   8.64707542E-02
                  103   5.93483288E-07   1.45595855E-06
200480   Ca48     2       
                  16    4.19531807E-06   1.28224733E-04
                  102   1.31419733E-01   1.29814377E-01
210450   Sc45     5       
                  16    6.47857793E-08   5.34584817E-06
                  102   1.81888984E+00   1.79632039E+00
                  103   6.79316092E-03   6.83628318E-03
                  107   1.13971052E-04   1.16768128E-04
                  1021  1.45249476E+00   1.43447168E+00
220460   Ti46     4       
                  16    0.00000000E+00   4.66429252E-07
                  102   7.59050473E-02   7.51235254E-02
                  103   2.81408264E-03   2.83653981E-03
                  107   3.46782369E-04   3.50363359E-04
220470   Ti47     4       
                  16    1.33095710E-05   1.01756074E-04
                  102   2.18727568E-01   2.19498404E-01
                  103   5.27641057E-03   5.32471082E-03
                  107   2.51851278E-03   2.55086294E-03
220480   Ti48     4       
                  16    3.08332906E-08   7.05958770E-06
                  102   1.00419037E+00   9.92167181E-01
                  103   8.44181422E-05   9.03517566E-05
                  107   1.23483091E-05   1.57449772E-05
220490   Ti49     4       
                  16    5.06315414E-05   1.56272909E-04
                  102   2.28350039E-01   2.25983618E-01
                  103   2.95755915E-04   3.08733133E-04
                  107   3.50195251E-05   3.58119085E-05
220500   Ti50     4       
                  16    5.85938008E-07   3.63224087E-05
                  102   2.21255681E-02   2.17863804E-02
                  103   1.11413464E-06   2.28102839E-06
                  107   1.55539493E-06   2.34526674E-06
230490   V49      4       
                  16    3.19852067E-08   3.45584806E-06
                  102   3.82653371E+00   3.62643491E+00
                  103   1.24898506E+01   1.23379204E+01
                  107   6.76245067E-05   8.43226578E-05
230500   V50      4       
                  16    4.93760422E-06   8.89744696E-05
                  102   6.46819591E+00   6.54008422E+00
                  103   2.62242590E-03   2.64307581E-03
                  107   4.41887494E-05   4.81983573E-05
230510   V51      4       
                  16    2.59984868E-07   1.78925773E-05
                  102   6.04769240E-01   5.98717644E-01
                  103   1.41445695E-04   1.45798037E-04
                  107   4.46551263E-06   6.33141359E-06
240500   Cr50     4       
                  16    0.00000000E+00   2.88762677E-07
                  102   1.86811736E+00   1.84445560E+00
                  103   1.36004023E-02   1.38206092E-02
                  107   9.69567318E-04   9.56119545E-04
240510   Cr51     4       
                  16    3.26519565E-06   5.79056851E-05
                  102   1.33833712E+00   1.31445714E+00
                  103   9.31973314E-01   9.22039703E-01
                  107   1.20255342E+00   1.18776382E+00
240520   Cr52     4       
                  16    0.00000000E+00   4.55225432E-06
                  102   1.07456173E-01   1.06292905E-01
                  103   2.64098123E-04   2.70547555E-04
                  107   2.65897636E-05   3.07369924E-05
240530   Cr53     4       
                  16    1.17127024E-04   2.74041148E-04
                  102   2.18949335E+00   2.16291070E+00
                  103   1.03676835E-04   1.05470921E-04
                  107   2.30732714E-04   2.35809804E-04
240540   Cr54     4       
                  16    4.35224327E-06   1.33519522E-04
                  102   5.14091027E-02   5.04648870E-02
                  103   7.61630839E-07   2.26409512E-06
                  107   1.08083436E-05   1.19316078E-05
250540   Mn54     4       
                  16    3.22138580E-05   1.99514301E-04
                  102   4.59607715E+00   4.53012618E+00
                  103   4.32804300E-01   4.28113979E-01
                  107   3.28845595E-04   3.33998134E-04
250550   Mn55     4       
                  16    1.94500935E-06   6.58787895E-05
                  102   1.81773719E+00   1.80922393E+00
                  103   6.18493314E-05   6.94220057E-05
                  107   1.04724998E-05   1.02539057E-05
260540   Fe54     3       
                  102   2.79899493E-01   2.76840604E-01
                  103   2.11888006E-02   2.14276937E-02
                  107   2.06805532E-04   2.00108241E-04
260550   Fe55     4       
                  16    3.89209506E-06   5.77145609E-05
                  102   1.60732217E+00   1.58419945E+00
                  103   2.00186805E-02   2.00619659E-02
                  107   1.75427225E-03   1.75872928E-03
260560   Fe56     4       
                  16    1.57517893E-07   1.17282319E-05
                  102   3.20007371E-01   3.19548837E-01
                  103   2.76172284E-04   2.85694938E-04
                  107   6.58492995E-05   6.40605565E-05
260570   Fe57     4       
                  16    2.09225347E-04   3.90207268E-04
                  102   3.15492048E-01   3.09330859E-01
                  103   1.75364011E-04   1.77850100E-04
                  107   2.20128800E-04   2.18376157E-04
260580   Fe58     4       
                  16    2.85111065E-06   9.51270242E-05
                  102   1.78105259E-01   1.77800928E-01
                  103   3.93629765E-06   8.41641955E-06
                  107   6.40372862E-06   6.67754282E-06
270580   Co58     4       
                  16    5.82476716E-05   1.97197704E-04
                  102   3.75356515E+02   3.79113808E+02
                  103   4.75354511E+00   4.76316013E+00
                  107   1.57986087E-03   1.60585889E-03
270581   Co58m1   4       
                  16    7.70614236E-05   2.26432130E-04
                  102   2.18439459E+04   2.15082518E+04
                  103   5.74294087E+03   5.64922535E+03
                  107   1.52585582E-03   1.56874931E-03
270590   Co59     5       
                  16    1.44351813E-06   5.50961114E-05
                  102   2.70409494E+00   2.68154998E+00
                  103   3.75524736E-04   3.87413839E-04
                  107   3.61117157E-05   3.93034534E-05
                  1021  3.38620898E+00   3.35797700E+00
280580   Ni58     4       
                  16    0.00000000E+00   4.31278759E-07
                  102   5.15529818E-01   5.08678594E-01
                  103   2.88933875E-02   2.91494102E-02
                  107   1.95458942E-03   1.96924901E-03
280590   Ni59     4       
                  16    8.10298514E-06   7.32531869E-05
                  102   1.11864899E+01   1.13772054E+01
                  103   2.43644631E-01   2.47517265E-01
                  107   1.83690589E+00   1.86508961E+00
280600   Ni60     4       
                  16    8.74433504E-08   8.09099363E-06
                  102   2.96860039E-01   2.94434195E-01
                  103   5.22891100E-04   5.33792155E-04
                  107   2.35511022E-04   2.40053951E-04
280610   Ni61     4       
                  16    1.52863564E-04   3.16904404E-04
                  102   3.49085262E-01   3.38118931E-01
                  103   6.24269048E-04   6.31469534E-04
                  107   4.35340377E-04   4.42685311E-04
280620   Ni62     4       
                  16    1.28504956E-06   5.34154273E-05
                  102   1.81493545E+00   1.79259893E+00
                  103   6.50798569E-06   1.03782226E-05
                  107   9.82604280E-06   1.19526373E-05
280630   Ni63     4       
                  16    6.05426442E-04   7.59870116E-04
                  102   3.19428027E+00   3.15466971E+00
                  103   4.68015239E-06   8.27343840E-06
                  107   1.31327937E-05   1.63422137E-05
280640   Ni64     4       
                  16    5.91220107E-06   1.61890996E-04
                  102   1.85426366E-01   1.81248156E-01
                  103   6.59932592E-08   5.12674589E-07
                  107   1.08821488E-07   4.77616627E-07
290630   Cu63     4       
                  16    2.50924786E-07   1.50965320E-05
                  102   6.43808593E-01   6.32727274E-01
                  103   6.25081960E-03   6.29233665E-03
                  107   1.98319649E-04   1.98489974E-04
290640   Cu64     4       
                  16    1.72705578E-04   3.39630953E-04
                  102   1.30237248E-01   1.33851664E-01
                  103   6.67768211E+01   6.58868776E+01
                  107   1.44997115E-04   1.52945051E-04
290650   Cu65     4       
                  16    2.81144233E-06   9.20128425E-05
                  102   2.94734716E-01   2.95289879E-01
                  103   1.28466767E-04   1.31374651E-04
                  107   9.50471434E-06   1.15009105E-05
300640   Zn64     4       
                  16    0.00000000E+00   1.92940903E-06
